ед	ѣд
ем	ѣм
ест	ѣст
обед	обѣд
сыроеж	сыроѣж
сыроег	сыроѣг
медвед	медвѣд
ех	ѣх
ез	ѣз
уе	уѣ
бег	бѣг
беж	бѣж
бел	бѣл
бес	бѣс
бешен	бѣшен
обет	обѣт
обеща	обѣща
вея	вѣя
веер	вѣер
вет	вѣт
вех	вѣх
вед	вѣд
вест	вѣст
веден	вѣдѣн
веж	вѣж
век	вѣк
веч	вѣч
вен	вѣн
вер	вѣр
вес	вѣс
веш	вѣш
звезд	звѣзд
вещать	вѣщать
свеж	свѣж
вещ	вѣщ
дет	дѣт
дев	дѣв
дея	дѣя
дел	дѣл
дей	дѣй
дед	дѣд
зев	зѣв
ротозей	ротозѣй
зел	зѣл
зен	зѣн
лев	лѣв
лез	лѣз
лес	лѣс
лек	лѣк
леч	лѣч
лен	лѣн
леп	лѣп
леш	лѣш
лет	лѣт
Летов	Лѣтов
леха	лѣха
бледн	блѣдн
лея	лѣя
Плеханов	Плѣханов
след	слѣд
телег	телѣг
тележ	телѣж
тлен	тлѣн
хлеб	хлѣб
хлев	хлѣв
мед	мѣд
мел	мѣл
мен	мѣн
мер	мѣр
мес	мѣс
мех	мѣх
мещ	мѣщ
меча	мѣча
меш	мѣш
зме	змѣ
сме	смѣ
нег	нѣг
неж	нѣж
недр	нѣдр
нем	нѣм
нет	нѣт
отнека	отнѣка
гнев	гнѣв
гнед	гнѣд
гнезд	гнѣзд
снег	снѣг
снеж	снѣж
мнен	мнѣн
петь	пѣть
песн	пѣсн
петух	пѣтух
пег	пѣг
пен	пѣн
пест	пѣст
пех	пѣх
пеш	пѣш
реят	рѣят
рек	рѣк
реч	рѣч
ред	рѣд
рез	рѣз
реп	рѣп
рес	рѣс
рет	рѣт
прорех	прорѣх
реш	рѣш
грех	грѣх
греш	грѣш
зре	зрѣ
орех	орѣх
прел	прѣл
прен	прѣн
рел	рѣл
стрех	стрѣх
хрен	хрѣн
сусек	сусѣк
сея	сѣя
сем	сѣм
север	сѣвер
сед	сѣд
сесть	сѣсть
сел	сѣл
сек	сѣк
сечь	сѣчь
сеча	сѣча
сечен	сѣчен
сен	сѣн
сер	сѣр
посет	посѣт
посещ	посѣщ
сет	сѣт
тен	тѣн
тел	тѣл
тес	тѣс
затея	затѣя
тех	тѣх
теш	тѣш
хер	хѣр
цев	цѣв
цед	цѣд
цел	цѣл
цен	цѣн
цеп	цѣп
