еда	ѣда
ем	ѣм
есть	ѣсть
обед	обѣд
обедня	обѣдня
сыроежка	сыроѣжка
сыроега	сыроѣга
медведь	медвѣдь
снедь	снѣдь
едкий	ѣдкий
ехать	ѣхать
езда	ѣзда
уезд	уѣзд
еду	ѣду
ездить	ѣздить
поезд	поѣзд
бег	бѣг
беглец	бѣглец
беженец	бѣженец
забегаловка	забѣгаловка
избегать	избѣгать
избежать	избѣжать
набег	набѣг
перебежчик	перебѣжчик
пробег	пробѣг
разбег	разбѣг
убежище	убѣжище
центробежная сила	центробѣжная сила
беда	бѣда
бедный	бѣдный
победить	побѣдить
убедить	убѣдить
убеждение	убѣждение
белый	бѣлый
бельё	бѣльё
белка	бѣлка
бельмо	бѣльмо
белуга	бѣлуга
бес	бѣс
бешеный	бѣшеный
обет	обѣт
обещать	обѣщать
веять	вѣять
веер	вѣер
ветер	вѣтер
ветвь	вѣтвь
веха	вѣха
ведать	вѣдать
веди	вѣди
весть	вѣсть
повесть	повѣсть
ве́дение	вѣ́дѣние
вежливый	вѣжливый
невежда	невѣжда
вежды	вѣжды
вежа	вѣжа
век	вѣк
вечный	вѣчный
увечить	увѣчить
веко	вѣко
венок	вѣнок
венец	вѣнец
вениквенок	вѣниквѣнок
венец	вѣнец
веник	вѣник
вено	вѣно
вера	вѣра
вероятно	вѣроятно
суеверие	суевѣрие
вес	вѣс
вешать	вѣшать
повеса	повѣса
равновесие	равновѣсие
звезда	звѣзда
зверь	звѣрь
невеста	невѣста
ответ	отвѣт
совет	совѣт
привет	привѣт
завет	завѣт
вещать	вѣщать
вече	вѣче
свежий	свѣжий
свежеть	свѣжѣть
свет	свѣт
свеча	свѣча
просвещение	просвѣщение
светец	свѣтец
светёлка	свѣтёлка
Светлана	Свѣтлана
цвет	цвѣт
цветы	цвѣты
цвести	цвѣсти
человек	человѣк
человеческий	человѣческий
деть	дѣть
девать	дѣвать
одеть	одѣть
одевать	одѣвать
одеяло	одѣяло
одеяние	одѣяние
дело	дѣло
делать	дѣлать
действие	дѣйствие
неделя	недѣля
надеяться	надѣяться
свидетель	свидѣтель
дева	дѣва
девочка	дѣвочка
дед	дѣд
делить	дѣлить
предел	предѣл
дети	дѣти
детёныш	дѣтёныш
детка	дѣтка
детство	дѣтство
зевать	зѣвать
зев	зѣв
ротозей	ротозѣй
зело	зѣло
зеница	зѣница
зенки	зѣнки
левый	лѣвый
левша	лѣвша
лезть	лѣзть
